"metric","zygosity","model","value"
"ise","MZ","misspec",2.53552232107087
"ise","MZ","fix",0.052372594276315
"sup","MZ","misspec",0.0345531211999059
"sup","MZ","fix",0.00768102532040141
"cvm","MZ","misspec",11.4387625311678
"cvm","MZ","fix",0.284451703726175
"iae","MZ","misspec",105.000531280284
"iae","MZ","fix",13.4684899177982
"ise","DZ","misspec",3.48100024552788
"ise","DZ","fix",0.0605874841484159
"sup","DZ","misspec",0.041520483230638
"sup","DZ","fix",0.00725475322934227
"cvm","DZ","misspec",15.8350196215887
"cvm","DZ","fix",0.265193653460368
"iae","DZ","misspec",126.589264182564
"iae","DZ","fix",16.2929264972339
