"label","sigma_gamma","rho","n_pairs","n_seeds","ml_mean_infl","ml_se_infl","mom_mean_infl","mom_se_infl","ml_minus_mom"
"default",0.4,0.4,5000,50,2.84634885904614,0.163643580898628,24.0049761519336,1.08468521293224,-0.266387117617452
"extreme",0.65,0.4,5000,50,4.77052399778458,0.177797973874189,42.1022627331443,1.02857820682133,-0.470006590678179
"no_pleiotropy",0.4,0,5000,50,0.255827112242148,0.165928899996775,10.489221080405,0.900026484713679,-0.128838430059171
"sanity",0,0,5000,50,0.0357564735875258,0.171798731688989,1.3074280151451,0.955903242692199,-0.0160103447082098
"default",0.4,0.4,20000,20,3.1528400363709,0.157861443757628,22.3901072103469,0.651038755073713,-0.242197193720357
"extreme",0.65,0.4,20000,20,4.62190250492356,0.105390250225836,42.5064134552443,0.776392376245186,-0.476965992864538
"no_pleiotropy",0.4,0,20000,20,0.362228513076972,0.159020735821451,8.98183524188867,0.52780466240545,-0.108520848715739
"sanity",0,0,20000,20,0.0884158559909171,0.0900130793793215,1.59515925886883,0.810580685624,-0.018969899442233
"default",0.4,0.4,50000,10,3.02223203719473,0.0999936506509449,21.2817346905286,0.448308129139473,-0.229887138405474
"extreme",0.65,0.4,50000,10,4.77184946702048,0.129852531968301,41.7925572993369,1.02071316964152,-0.466090711608864
"no_pleiotropy",0.4,0,50000,10,0.285169832795029,0.109743583050032,8.80330620760831,0.717925997644337,-0.107243336958899
"sanity",0,0,50000,10,0.0146694732662411,0.131570033514552,3.69743712145615,0.984432542428399,-0.0463660446907109
