"model","condition","sigma_true","sigma_fit","delta_sigma","sigma_infl_pct","var_infl_pct","h2_falconer"
"GM","Oracle",1.25878863874664,1.25878863874664,0,0,0,0.509503501550238
"GM","Baseline (correctly specified)",1.25878863874664,1.21984869977009,-0.0389399389765512,-3.09344537898939,-6.09119671485087,0.472426353213316
"GM","Misspecified (omitted extrinsic)",1.25878863874664,1.53660627361844,0.277817634871803,22.0702369182823,49.0114274128557,0.585989698946059
"GM","Recovery (two-component refit)",1.25878863874664,1.21851562469366,-0.0402730140529775,-3.19934680162643,-6.2963354036821,0.476458879762671
"MGG","Oracle",0.27,0.27,0,0,0,0.464367028958154
"MGG","Baseline (correctly specified)",0.27,0.266133031384447,-0.00386696861555269,-1.43221059835285,-2.84390892472535,0.459072882480318
"MGG","Misspecified (omitted extrinsic)",0.27,0.318385809085616,0.0483858090856164,17.9206700317098,39.0528442072738,0.556305378009367
"SR","Oracle",3.57,3.57,0,0,0,0.577051584689183
"SR","Baseline (correctly specified)",3.57,3.57659715651772,0.00659715651772297,0.18479430021634,0.369930089766579,0.569472982189681
"SR","Misspecified (omitted extrinsic)",3.57,4.07347819305105,0.503478193051045,14.1030306176763,30.1950159613839,0.655148382446398
